,,,barcelona-1992,,,atlanta-1996,,,sydney-2000,,,athens-2004,,,beijing-2008,,,london-2012,,,rio-2016,,,tokyo-2020,,Grand Total,
,,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Top 15 finishes,Percentage of Top 15 finishes
Italy,ITA,205,118,57.60%,212,134,63.20%,204,134,65.70%,209,126,60.30%,223,136,61.00%,210,125,59.50%,218,122,56.00%,226,156,69.00%,1051,61.60%
Jamaica,JAM,17,10,58.80%,27,16,59.30%,20,16,80.00%,26,18,69.20%,31,25,80.60%,30,23,76.70%,24,23,95.80%,28,27,96.40%,158,77.80%
Japan,JPN,222,111,50.00%,197,113,57.40%,182,106,58.20%,196,130,66.30%,203,134,66.00%,211,132,62.60%,221,135,61.10%,297,201,67.70%,1062,61.40%
Jordan,JOR,,0,0.00%,,0,0.00%,6,1,16.70%,6,2,33.30%,5,1,20.00%,8,4,50.00%,8,2,25.00%,11,5,45.50%,15,30.60%
Kazakhstan,KAZ,,0,--,87,42,48.30%,93,46,49.50%,78,39,50.00%,99,46,46.50%,94,47,50.00%,91,52,57.10%,82,47,57.30%,319,51.10%
Kenya,KEN,33,22,66.70%,36,21,58.30%,34,22,64.70%,25,19,76.00%,41,31,75.60%,38,30,78.90%,44,30,68.20%,34,27,79.40%,202,70.90%
Kiribati,KIR,,0,--,,0,--,,0,--,1,1,100.00%,1,1,100.00%,1,1,100.00%,1,1,100.00%,2,1,50.00%,5,83.30%
Kosovo,KOS,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,6,2,33.30%,8,5,62.50%,7,50.00%
Kuwait,KWT,,0,0.00%,16,2,12.50%,10,6,60.00%,5,5,100.00%,6,3,50.00%,10,2,20.00%,,0,--,6,4,66.70%,22,31.00%
Kyrgyzstan,KGZ,,0,--,33,8,24.20%,51,15,29.40%,26,7,26.90%,18,9,50.00%,14,4,28.60%,19,9,47.40%,14,9,64.30%,61,34.90%
Lao People's Democratic Republic,LAO,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,0,0.00%
Latvia,LVA,28,13,46.40%,37,13,35.10%,41,15,36.60%,28,12,42.90%,27,10,37.00%,33,17,51.50%,26,11,42.30%,24,10,41.70%,101,41.40%
Lebanon,LBN,16,1,6.30%,,0,0.00%,,0,0.00%,3,1,33.30%,4,1,25.00%,8,1,12.50%,8,1,12.50%,3,1,33.30%,6,12.80%
Lesotho,LSO,,0,0.00%,,0,0.00%,5,2,40.00%,3,1,33.30%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,3,12.00%
Liberia,LBR,,0,--,,0,--,,0,--,,0,--,,0,0.00%,,0,0.00%,,0,--,1,1,100.00%,1,25.00%
Libya,LBY,,0,0.00%,,0,0.00%,2,1,50.00%,6,2,33.30%,,0,0.00%,,0,0.00%,7,1,14.30%,,0,0.00%,4,12.10%
Liechtenstein,LIE,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,0,0.00%
Lithuania,LTU,31,18,58.10%,55,23,41.80%,39,17,43.60%,43,20,46.50%,51,25,49.00%,49,28,57.10%,51,23,45.10%,29,15,51.70%,169,48.60%
Luxembourg,LUX,,0,0.00%,6,1,16.70%,8,3,37.50%,12,1,8.30%,13,2,15.40%,11,2,18.20%,13,1,7.70%,10,1,10.00%,11,13.60%
Madagascar,MDG,13,1,7.70%,6,1,16.70%,,0,0.00%,,0,0.00%,,0,0.00%,6,2,33.30%,4,1,25.00%,3,2,66.70%,7,15.60%
Malawi,MWI,,0,0.00%,,0,0.00%,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,0,0.00%
Malaysia,MYS,11,4,36.40%,22,5,22.70%,32,7,21.90%,28,9,32.10%,33,16,48.50%,29,14,48.30%,31,13,41.90%,23,12,52.20%,80,38.30%
Maldives,MDV,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,1,1,100.00%,1,5.60%
Mali,MLI,,0,0.00%,,0,--,,0,0.00%,3,1,33.30%,4,2,50.00%,5,1,20.00%,4,1,25.00%,1,1,100.00%,6,28.60%
Malta,MLT,,0,0.00%,9,1,11.10%,,0,0.00%,4,1,25.00%,4,1,25.00%,3,1,33.30%,,0,0.00%,4,2,50.00%,6,15.80%
Marshall Islands,MHL,,0,--,,0,--,,0,--,,0,--,3,1,33.30%,,0,0.00%,3,1,33.30%,,0,--,2,25.00%
Mauritania,MRT,,0,0.00%,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,0,0.00%
Mauritius,MUS,15,1,6.70%,19,4,21.10%,14,2,14.30%,8,3,37.50%,9,3,33.30%,8,2,25.00%,9,4,44.40%,5,4,80.00%,23,26.40%
Mexico,MEX,74,21,28.40%,76,21,27.60%,75,31,41.30%,71,27,38.00%,77,25,32.50%,86,31,36.00%,90,43,47.80%,97,43,44.30%,242,37.50%
Monaco,MCO,,0,0.00%,,0,0.00%,4,1,25.00%,,0,0.00%,,0,0.00%,6,1,16.70%,,0,0.00%,3,2,66.70%,4,14.30%
Mongolia,MNG,35,15,42.90%,17,10,58.80%,17,7,41.20%,14,9,64.30%,30,18,60.00%,32,18,56.30%,46,27,58.70%,45,25,55.60%,129,54.70%
Montenegro,MNE,,0,--,,0,--,,0,--,,0,--,7,3,42.90%,8,3,37.50%,8,2,25.00%,6,3,50.00%,11,37.90%
Morocco,MAR,24,11,45.80%,29,14,48.30%,25,16,64.00%,32,18,56.30%,33,16,48.50%,40,14,35.00%,37,15,40.50%,34,12,35.30%,116,45.70%
Mozambique,MOZ,5,2,40.00%,4,1,25.00%,4,1,25.00%,3,1,33.30%,4,1,25.00%,,0,0.00%,6,1,16.70%,6,2,33.30%,9,25.00%
Myanmar,MMR,,0,0.00%,,0,0.00%,5,3,60.00%,,0,0.00%,,0,0.00%,5,1,20.00%,6,2,33.30%,2,2,100.00%,8,28.60%
Namibia,NAM,10,2,20.00%,11,3,27.30%,,0,0.00%,7,3,42.90%,7,1,14.30%,8,3,37.50%,11,2,18.20%,11,4,36.40%,18,25.00%
Nauru,NRU,,0,--,,0,0.00%,3,2,66.70%,3,3,100.00%,1,1,100.00%,2,1,50.00%,2,2,100.00%,1,1,100.00%,10,66.70%
Nepal,NPL,,0,0.00%,,0,0.00%,,0,0.00%,4,1,25.00%,7,2,28.60%,,0,0.00%,5,1,20.00%,,0,0.00%,4,12.50%
Netherlands,NLD,126,73,57.90%,120,74,61.70%,125,86,68.80%,115,71,61.70%,113,77,68.10%,118,81,68.60%,143,94,65.70%,145,109,75.20%,665,66.20%
Netherlands Antilles,ANT,,0,0.00%,,0,0.00%,7,1,14.30%,,0,0.00%,3,1,33.30%,,0,--,,0,--,,0,--,2,10.00%
New Zealand,NZL,94,42,44.70%,81,39,48.10%,85,34,40.00%,91,45,49.50%,88,49,55.70%,98,72,73.50%,98,67,68.40%,93,69,74.20%,417,57.30%
Nicaragua,NIC,8,2,25.00%,8,3,37.50%,5,1,20.00%,,0,0.00%,5,1,20.00%,4,2,50.00%,4,1,25.00%,5,1,20.00%,11,25.60%
Niger,NER,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,4,1,25.00%,3,2,66.70%,3,15.80%
Nigeria,NGA,38,16,42.10%,31,13,41.90%,28,17,60.70%,28,14,50.00%,26,16,61.50%,23,11,47.80%,23,11,47.80%,20,12,60.00%,110,50.70%
North Macedonia,MKD,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,5,3,60.00%,3,60.00%
Norway,NOR,59,28,47.50%,59,34,57.60%,53,26,49.10%,44,22,50.00%,59,27,45.80%,47,19,40.40%,44,19,43.20%,54,32,59.30%,207,49.40%
Oman,OMN,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,2,1,50.00%,1,5.90%
Pakistan,PAK,7,2,28.60%,7,3,42.90%,9,2,22.20%,9,4,44.40%,5,1,20.00%,4,1,25.00%,,0,0.00%,7,6,85.70%,19,35.80%
Palau,PLW,,0,--,,0,--,3,1,33.30%,,0,0.00%,3,1,33.30%,3,1,33.30%,,0,0.00%,,0,--,3,18.80%
Palestine,PLE,,0,--,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,2,1,50.00%,1,6.70%
